"Package name","Release","Info"
"libdb5.3:amd64","5.3.28-11ubuntu0.2","amd64 Berkeley v5.3 Database Libraries [runtime] "
"libdbus-1-3:amd64","1.10.6-1ubuntu3.4","amd64 simple interprocess messaging system (library) "
"libdbus-glib-1-2:amd64","0.106-1","amd64 simple interprocess messaging system (GLib-based shared library) "
"libdebconfclient0:amd64","0.198ubuntu1","amd64 Debian Configuration Management System (C-implementation library) "
"libdevmapper1.02.1:amd64","2:1.02.110-1ubuntu10","amd64 Linux Kernel Device Mapper userspace library "
"libdevmapper-event1.02.1:amd64","2:1.02.110-1ubuntu10","amd64 Linux Kernel Device Mapper event support library "
"libdns162:amd64","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 DNS Shared Library used by BIND "
"libdns-export162","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 Exported DNS Shared Library "
"libdrm2:amd64","2.4.70-1~ubuntu16.04.1","amd64 Userspace interface to kernel DRM services -- runtime "
"libdumbnet1:amd64","1.12-7","amd64 dumb, portable networking library -- shared library "
"libedit2:amd64","3.1-20150325-1ubuntu2","amd64 BSD editline and history libraries "
"libelf1:amd64","0.165-3ubuntu1.2","amd64 library to read and write ELF files "
"libencode-locale-perl","1.05-1","all utility to determine the locale encoding "
"liberror-perl","0.17-1.2","all Perl module for error/exception handling in an OO-ish way "
"libestr0","0.1.10-1","amd64 Helper functions for handling strings (lib) "
"libevent-2.0-5:amd64","2.0.21-stable-2ubuntu0.16.04.1","amd64 Asynchronous event notification library "
"libevent-core-2.0-5:amd64","2.0.21-stable-2ubuntu0.16.04.1","amd64 Asynchronous event notification library (core) "
"libexpat1:amd64","2.1.0-7ubuntu0.16.04.5","amd64 XML parsing C library - runtime library "
"libfcgi-perl","0.77-1build1","amd64 helper module for FastCGI "
"libfdisk1:amd64","2.27.1-6ubuntu3.6","amd64 fdisk partitioning library "
"libffi6:amd64","3.2.1-4","amd64 Foreign Function Interface library runtime "
"libfontconfig1:amd64","2.11.94-0ubuntu1.1","amd64 generic font configuration library - runtime "
"libfpdf-tpl-php","1.2-2ubuntu1","all PHP library to use PDF templates with FPDF "
"libfpdi-php","1.4.1-1ubuntu1","all PHP library for importing existing PDF documents into FPDF "
"libfreetype6:amd64","2.6.1-0.1ubuntu2.4","amd64 FreeType 2 font engine, shared library files "
"libfribidi0:amd64","0.19.7-1","amd64 Free Implementation of the Unicode BiDi algorithm "
"libfuse2:amd64","2.9.4-1ubuntu3.1","amd64 Filesystem in Userspace (library) "
"libgcc1:amd64","1:6.0.1-0ubuntu1","amd64 GCC support library "
"libgcrypt20:amd64","1.6.5-2ubuntu0.6","amd64 LGPL Crypto library - runtime library "
"libgd3:amd64","2.2.5-5.1+ubuntu16.04.1+deb.sury.org+1","amd64 GD Graphics Library "
"libgdbm3:amd64","1.8.3-13.1","amd64 GNU dbm database routines (runtime version) "
"libgeoip1:amd64","1.6.9-1","amd64 non-DNS IP-to-country resolver library "
"libgirepository-1.0-1:amd64","1.46.0-3ubuntu1","amd64 Library for handling GObject introspection data (runtime library) "
"libglib2.0-0:amd64","2.48.2-0ubuntu4.4","amd64 GLib library of C routines "
"libglib2.0-data","2.48.2-0ubuntu4.4","all Common files for GLib library "
"libgmp10:amd64","2:6.1.0+dfsg-2","amd64 Multiprecision arithmetic library "
"libgnutls30:amd64","3.4.10-4ubuntu1.6","amd64 GNU TLS library - main runtime library "
"libgnutls-openssl27:amd64","3.4.10-4ubuntu1.6","amd64 GNU TLS library - OpenSSL wrapper "
"libgpg-error0:amd64","1.21-2ubuntu1","amd64 library for common error values and messages in GnuPG components "
"libgpm2:amd64","1.20.4-6.1","amd64 General Purpose Mouse - shared library "
"libgssapi3-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - GSSAPI support library "
"libgssapi-krb5-2:amd64","1.13.2+dfsg-5ubuntu2.1","amd64 MIT Kerberos runtime libraries - krb5 GSS-API Mechanism "
"libhcrypto4-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - crypto library "
"libheimbase1-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - Base library "
"libheimntlm0-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - NTLM support library "
"libhogweed4:amd64","3.2-1ubuntu0.16.04.1","amd64 low level cryptographic library (public-key cryptos) "
"libhtml-parser-perl","3.72-1","amd64 collection of modules that parse HTML text documents "
"libhtml-tagset-perl","3.20-2","all Data tables pertaining to HTML "
"libhtml-template-perl","2.95-2","all module for using HTML templates with Perl "
"libhttp-date-perl","6.02-1","all module of date conversion routines "
"libhttp-message-perl","6.11-1","all perl interface to HTTP style messages "
"libhx509-5-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - X509 support library "
"libicu55:amd64","55.1-7ubuntu0.4","amd64 International Components for Unicode "
"libidn11:amd64","1.32-3ubuntu1.2","amd64 GNU Libidn library, implementation of IETF IDN specifications "
"libio-html-perl","1.001-1","all open an HTML file with automatic charset detection "
"libisc160:amd64","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 ISC Shared Library used by BIND "
"libisccc140:amd64","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 Command Channel Library used by BIND "
"libisccfg140:amd64","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 Config File Handling Library used by BIND "
"libisc-export160","1:9.10.3.dfsg.P4-8ubuntu1.14","amd64 Exported ISC Shared Library "
"libjbig0:amd64","2.1-3.1+deb.sury.org~xenial+1","amd64 JBIGkit libraries "
"libjpeg8:amd64","8c-2ubuntu8","amd64 Independent JPEG Group's JPEG runtime library (dependency package) "
"libjpeg-turbo8:amd64","1.4.2-0ubuntu3.3","amd64 IJG JPEG compliant runtime library. "
"libjson-c2:amd64","0.11-4ubuntu2","amd64 JSON manipulation library - shared library "
"libk5crypto3:amd64","1.13.2+dfsg-5ubuntu2.1","amd64 MIT Kerberos runtime libraries - Crypto Library "
"libkeyutils1:amd64","1.5.9-8ubuntu1","amd64 Linux Key Management Utilities (library) "
